    button-38: D18  
    button-39: D19  
    button-44: D14  
    button-37: D17  
    button-33: A15  
    button-26: A9 A14,
    button-34: A13,
    button-35: A12  
    button-01: D31  
    button-09: D40,
    button-17: D49  
    button-25: A11 D52,
    button-41: A10  
    button-49: A5,
    button-57: D11  
    button-02: D36,
    button-10: D45  
    button-18: D51,
    button-42: A8  
    button-50: A6  
    button-58: D12,
    button-03: D38,
    button-11: D50,
    button-19: D24,
    button-27: D13,
    button-43: A7,
    button-51: D10,
    button-59: D7,
    button-04: D42,
    button-12: D26,
    button-20: D25,
    button-28: D23,
    button-36: D16  
    button-52: D9,
    button-60: A0,
    button-05: D46  
    button-13: D29,
    button-21: D28,
    button-29: D22  
    button-45: D4  
    button-53: D8  
    button-61: A2,
    button-06: D30,
    button-14: D33,
    button-22: D34  
    button-30: D27  
    button-46: D15,
    button-54: D6  
    button-07: D32  
    button-15: D39,
    button-23: D41  
    button-31: D35  
    button-47: D5  
    button-55: A1,
    button-08: D37  
    button-16: D44,
    button-24: D48  
    button-32: D47  
    button-40: D43,
    button-48: A4  
    button-56: A3  
